00_Rh111_clean|-.24730727E+03||8|1|0.004|
40_O2_gas|-.98819532E+01|2.0000|3|1|0.000|
41_CeO2_bulk|-.97551850E+02|0.0000|3|1|0.000|
42_Ce2O3_gas|-.34282353E+02|2.0000|37|1|0.000|
43_Ce2O4_gas|-.40993138E+02|0.0000|111|1|0.000|
50a_Ce4O8_film_free|-.89245729E+02|0.0019|5|1|0.000|
50b_Ce4O6_film_2Obot|-.78867291E+02|4.0000|33|1|0.000|
50c_Ce4O6_film_2Otop|-.78871885E+02|4.0000|34|1|0.000|
50d_Ce4O6_film_1top1bot|-.75603914E+02|4.0000|16|1|0.000|
20a_Ce4O8_layer_regFCC|-.34123846E+03||44|1|0.017|
20b_Ce4O8_layer_regTOP|-.34090372E+03||15|1|0.018|
10a_Ce2O3_cluster_Odown|-.28661282E+03|2.0344|96|1|0.011|0.992 0.991 -0.018 -0.002 
10b_Ce2O3_cluster_Cedown|-.28583914E+03|2.0211|29|1|0.018|0.997 0.997 -0.009 -0.009 
10c_Ce2O4_cluster_Odown|-.29325297E+03|0.0116|17|1|0.019|0.997 -0.994 -0.001 -0.000 
30a_Ce4O6_layer_2Obot|-.32945481E+03|0.0012|12|1|0.018|-0.990 0.988 0.988 -0.987 
30b_Ce4O6_layer_2Otop|-.32815097E+03|-4.0075|39|1|0.019|-0.988 -0.988 -0.988 -0.986 
30c_Ce4O6_layer_1top1bot|-.32859170E+03|2.0241|66|1|0.020|0.990 -0.990 0.990 0.989 
30d_Ce4O6_layer_Atype|-.32841513E+03|-1.9956|105|1|0.020|-0.988 0.926 -0.938 -0.989 
